               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  47,            0.021135,           0.0066532,           0.0021667,             0.95934,             0.98978,             0.97817,             0.67295,             0.02192,           0.0055146,           0.0016541,            0.005446,            0.005446,            0.005446
                  48,            0.022064,           0.0068338,           0.0019182,             0.95589,             0.98984,             0.97626,             0.69562,            0.021329,           0.0054275,           0.0017039,            0.005347,            0.005347,            0.005347
                  49,            0.021266,           0.0067915,            0.001811,              0.9577,             0.98958,             0.97736,             0.69284,            0.021493,           0.0054784,            0.001767,            0.005248,            0.005248,            0.005248
                  50,            0.021439,           0.0067827,           0.0019828,             0.96183,             0.99089,             0.98096,             0.69212,            0.022004,           0.0055414,           0.0014734,            0.005149,            0.005149,            0.005149
                  51,             0.02085,           0.0065154,           0.0019394,             0.95692,              0.9891,             0.98038,             0.69584,            0.021386,           0.0055689,           0.0017735,             0.00505,             0.00505,             0.00505
                  52,            0.020858,           0.0065826,            0.001728,             0.95803,             0.98965,             0.98175,             0.69425,             0.02182,           0.0055177,           0.0015583,            0.004951,            0.004951,            0.004951
                  53,            0.020637,           0.0063364,           0.0020302,             0.95675,              0.9891,             0.97892,             0.69223,            0.021347,           0.0055178,           0.0017874,            0.004852,            0.004852,            0.004852
                  54,            0.020862,           0.0065583,           0.0022047,             0.95738,              0.9891,             0.97906,             0.68929,            0.021537,           0.0055683,           0.0017373,            0.004753,            0.004753,            0.004753
                  55,            0.021033,           0.0066398,           0.0016376,             0.95667,             0.98725,              0.9817,             0.69946,            0.021238,           0.0054482,           0.0015866,            0.004654,            0.004654,            0.004654
                  56,            0.020912,           0.0066169,           0.0018246,             0.95759,              0.9891,              0.9764,             0.69103,            0.021377,           0.0055337,           0.0017663,            0.004555,            0.004555,            0.004555
                  57,            0.020674,           0.0066163,           0.0016788,             0.95734,              0.9891,             0.97933,             0.70135,            0.021238,             0.00552,           0.0015701,            0.004456,            0.004456,            0.004456
                  58,            0.020943,           0.0066828,           0.0016224,              0.9546,              0.9863,             0.97834,             0.70041,            0.021068,            0.005504,           0.0019679,            0.004357,            0.004357,            0.004357
                  59,            0.020582,           0.0065378,           0.0018972,             0.95736,             0.98721,             0.97254,              0.6881,            0.021579,           0.0055429,           0.0015783,            0.004258,            0.004258,            0.004258
                  60,            0.020183,           0.0061292,           0.0021253,             0.95726,             0.98926,             0.97582,             0.66649,            0.022511,           0.0056728,           0.0014707,            0.004159,            0.004159,            0.004159
                  61,            0.020367,           0.0063898,           0.0017951,             0.95734,             0.98951,             0.97838,              0.6989,            0.021553,           0.0055064,           0.0015885,             0.00406,             0.00406,             0.00406
                  62,            0.020509,           0.0062355,           0.0016413,              0.9596,             0.99068,             0.98194,             0.69042,            0.021515,           0.0055546,           0.0013667,            0.003961,            0.003961,            0.003961
                  63,            0.020076,           0.0063127,           0.0017744,             0.95783,             0.98943,             0.98278,             0.69818,            0.021937,           0.0055394,            0.001696,            0.003862,            0.003862,            0.003862
                  64,            0.020112,            0.006563,           0.0018016,             0.95786,             0.98937,             0.98202,             0.68611,            0.022082,           0.0055702,           0.0017989,            0.003763,            0.003763,            0.003763
                  65,            0.020275,           0.0064115,           0.0012086,             0.95757,             0.98945,             0.98019,             0.69632,            0.021566,           0.0055543,             0.00175,            0.003664,            0.003664,            0.003664
